KR	JP
「아, 아니, 그건 그 왜――마, 맛있었고」	「い、いや、アレはほら──お、おいしかったし」
이세계에는 오락이 적다.	　異世界というのは娯楽が少ない。
현대인인 나로서는, 취미 하나 정도는 봐줬으면 한다.	　現代人の俺から言わせてもらえれば、趣味の一つくらい許して欲しい。
「얼마 없는 취미야」	「数少ない趣味なんだ」
내가 풀이 죽은 모습을 보이자, 노엘이 미안하다고 생각했는지 사과해왔다.	　俺が落ち込んでみせると、ノエルが悪いと思ったのか謝罪してくる。
「미, 미안해. 말이 심했어. 그나저나, 리온의 취미가 다도라니 의외란 말이지」	「ご、ごめんね。言い過ぎたわ。それにしても、リオンの趣味がお茶なんて意外よね」
뭐어, 나 자신도 얼마 전까지 「다도? 아~, 그래그래, 다도 말이지」라는 태도였다.	　まぁ、俺自身少し前まで「お茶？　あ～、はいはい、お茶ね」という態度だった。
하지만, 스승님과 만나 나는 가치관이 바뀐 것이다.	　しかし、師匠と出会って俺の価値観は変わったのだ。
「노엘도 스승님의 다과회에 참가한다면 분명 알 거야」	「ノエルも師匠のお茶会に参加したらきっと分かる」
스승님을 기쁜 듯이 칭찬하는 나를 본 노엘은 식사를 재개한다.	　師匠を嬉しそうに褒める俺を見たノエルは、食事を再開する。
「그거, 몇 번이나 들었어」	「それ、何度も聞いたわ」
그렇네. 몇 번이나 얘기했지.	　そうだね。何度も話したね。
나도 식사를 재개하자 점원이 다가왔다.	　俺も食事を再開すると、店員が近付いてきた。
「추가하실 주문은 없으신가요?」	「追加の注文は大丈夫でしょうか？」
노엘은 추가하지 않는 모양이지만, 난 한다.	　ノエルは追加しないようだが、俺はする。
「가장 비싼 주스를 부탁해」	「一番高いジュースを頼む」
부자라고 어필하기 위해 비싼 음식을 주문해봤다.	　お金持ちだとアピールするため、高い品を注文してみた。
점원이 곤란해하는 웃음을 지어왔다.	　店員が困ったような笑みを向けてくる。
「저, 저기, 그런 비싼 주스는 없습니다」	「あ、あの、そんなに高いジュースはありませんよ」
그런 건 메뉴를 봤으니 알고 있다.	　そんなのメニューを見たから知っている。
「농담이야. 추가로 음료를 두 개 줘. 같은 걸로 좋으니까」	「冗談だ。追加で飲み物を二つくれ。同じ物でいいから」
앞서 주문했던 음료와 같은 것을 부탁한다.	　先に注文していた飲み物と同じ物を頼む。
노엘도 그걸로 좋은 모양이다.	　ノエルもそれでいいそうだ。
점원이 멀어져가자, 노엘이 내게 물어본다.	　店員が離れると、ノエルが俺に聞いてくる。
「리온은 술을 마시지 않네. 마리에 짱들은 마시고 있고, 왕국에서도 드문 편아냐?」	「リオンはお酒を飲まないわね。マリエちゃんたちは飲んでいるし、王国でも珍しい方じゃない？」
이 세계에서는 열일곱 살이 되면 음주는 인정된다.	　この世界では十七歳にもなれば飲酒は認められている。
열다섯 살 정도에 성인 취급을 받으므로, 그다음부터는 자기 책임이다.	　十五歳くらいで成人扱いを受けるので、そこからは自己責任だ。
하지만, 난 술은 그렇게까지 흥미가 없다.	　だが、俺は酒にそこまで興味がない。
「술은 스무 살부터, 라고 정했거든」	「お酒は二十歳から、って決めているんだ」
「뭐야 그게?」	「何それ？」
「자기 규칙」	「自分ルール」
딱히 구애하는 것도 없지만――왠지 기분이 안 내키기에, 스무 살까지는 마시지 않는 걸로 하고 있다. 애초에, 그렇게까지 술을 마시고 싶어! 라고 생각하지 않는다.	　別にこだわりもないが──何となく気が引けるので、二十歳までは飲まないことにしている。そもそも、そこまで酒が飲みたい！　なんて思わない。
노엘이 웃고 있었다.	　ノエルが笑っていた。
그리고, 조금 슬픈 듯한 얼굴로 미소짓는다.	　そして、少し悲しそうな顔をして微笑む。
「왜 그래?」	「どうした？」
물어보자, 노엘이 고개를 가로저었다.	　尋ねると、ノエルが首を横に振った。
사이트 포니테일이 흔들리다.	　サイドポニーテールが揺れる。
「이런 식으로 식사를 하는 게 꿈이었어」	「こんな風に食事をするのが夢だったのよ」
그 말에, 나는 노엘의 여동생의 얼굴이 떠올랐다.	　その言葉に、俺はノエルの妹の顔が思い浮かんだ。
「레리아하고는?」	「レリアとは？」
노엘이 조금 불만스러운 얼굴을 한다.	　ノエルが少しだけ不満そうな顔をする。
계속해서 표정이 잘 바뀌는 아이다.	　コロコロと表情がよく変わる子だ。
「리온은 분위기를 안 읽는 데다 둔하구나. 아니, 별로 상관없지만. ――자매는다르다고 할지, 애초에 레리아한테 이런 걸 원하지도 않고」	「リオンは空気を読まないし、鈍いわよね。まぁ、別にいいけどさ。──姉妹は別っていうか、そもそもレリアにこんなことを望んでいないし」
「흐~응」	「ふ～ん」
자매 사이에 뭔가 있는 걸까?	　姉妹の間に何かあるのだろうか？
하긴, 그 레리아랑이면, 뭔가 있어도 이상하지 않지.	　まぁ、あのレリアとなら、何かがあっても不思議ではない。
그 녀석 탓에, 지금 이 상황이 만들어진 거나 다름없으니.	　あいつのせいで、今のこの状況が出来上がってしまったようなものだ。
「아무튼, 즐거워해준다면 그걸로 됐어」	「まぁ、楽しんでもらえればそれでいいや」
내가 그리 말하자, 노엘이 내 얼굴을 본다.	　俺がそう言うと、ノエルが俺の顔を見る。
「왜?」	「何？」
노엘이 웃는 얼굴을 보여줬는데, 그 얼굴이 무적이나 예뻐 보였다.	　ノエルが笑顔を見せたのだが、その顔はとても綺麗に見えた。
「맛있게 먹는구나, 라고 생각했어. 그보다, 이다음에 말인데――」	「おいしそうに食べてるな、って思っただけ。それより、この後なんだけど──」
이다음의 예정을 확인해오는 노엘이었지만, 우리 테이블에 다가오는 발소리가들려왔다.	　この後の予定を確認してくるノエルだったが、俺たちのテーブルに近付いてくる足音が聞こえてきた。
점원이 아닌 그 인물은 우리가 아는 사람이었다.	　店員ではなく、その人物は俺たちの知り合いだ。
난 그 녀석의 얼굴을 보고 대놓고 싫은 얼굴을 한 거겠지.	　俺はそいつの顔を見て、明らかに嫌そうな顔をしたのだろう。
――레리아가 한쪽 눈썹을 치켜올리고 허리에 손을 대고 불쾌함을 숨기려 하지도 않는다.	　──レリアが片眉を上げて、腰に手を当てて不機嫌さを隠そうともしない。
「그렇게 싫은 듯한 얼굴을 할 건 없잖아」	「そんなに嫌そうな顔をすることないでしょ」
노엘이 눈살을 찌푸리며, 레리아한테서 얼굴을 돌려버렸다.	　ノエルが眉をひそめて、レリアから顔を背けるのだった。
「레리아, 무슨 용무야?」	「レリア、何の用？」
두 사람 사이에 거북한 분위기가 감돌았고, 주변의 손님들도 흥미를 갖고 이쪽을 보고 있었다.	　二人の間に気まずい空気が漂っており、周囲の客たちも興味からこちらを見ていた。
나는 한숨을 내쉰다.	　俺は溜息を吐く。
「호랑이도 제 말 하면, 이란 건가? 아무튼, 앉아. 뭐 마실래?」	「噂をすれば、ってやつかな？　まぁ、座れよ。何か飲む？」
말을 걸어주자, 레리아가 내게서 얼굴을 돌렸다.	　声をかけてやると、レリアは俺から顔を背けた。
「됐네요! ――이쪽에도 일행이 있어」	「お構いなく！　──こっちも連れがいるもの」
레리아의 뒤를 보니, 조금 떨어진 곳에서 바슬바슬 한 파란 머리의 에미르가서있었다.	　レリアの後ろを見れば、少し離れた場所にサラサラした青髪のエミールが立っていた。
비싸 보이는 양복 모습이다.	　高そうなスーツ姿である。
그걸 보고 난 히죽거렸다.	　それを見て俺はニヤニヤする。
「뭐야, 데이트야?」	「何だ、デートか？」
「시끄럽네! 그보다도, 오늘 네 집에 갈 거니까」	「五月蠅いわね！　それよりも、今日はあんたの家に行くから」
그걸 들은 노엘의 표정이 험악해졌다.	　それを聞いたノエルの表情が険しくなった。
