KR	JP
가로등도 없어서 어둡기만 한 그곳에 남녀 한 쌍이 있었다. 어쩌면 단순히 ‘있었다’라고 말하기엔 이상할지 모르겠다. 남자가 여자를 협박했고, 여자는 남자에게 협박당했으니까.	街灯もなくて暗いばかりのそこに男女一対があった。 どうしたら、単に'いた'と言うには以上するかも知れない。 男が女を脅迫し、女子は、男に脅迫されたから。 
“바실리스크의 위액. 원래는 네가 내 술잔에 탄 독약이지. 이야. 내 스킬이 아니었으면 정말 큰일이 날 뻔했다니까. 어, 왜 그러셔? 얼굴이 창백해졌는데. 성녀 씨.”	"バジリスクの胃液 元々はお前が私の杯に乗った毒薬だ。 だよ。 私のスキルがなかったら本当に大変なことがになるところだったんだから。 あ、なぜそうなの? 顔が真っ青になったが。 聖女さん。" 
“설마 만독불침(萬毒不侵)···? 마, 말도 안 돼요. 당신한테는 그런 스킬이 없을 텐데.”	"まさかマンドクブルチム(萬毒不侵)・・・? まぁ話にならないです。 あなたにはそんなスキルがないはずなのに。" 
“없지.”	"ない。" 
남자의 웃음소리가 나지막이 퍼졌다.	男の笑い声が低めに広がった。 
“근데 만독불침보다 조금 더 좋은 스킬은 갖고 있거든.”	"ところでマンドクブルチムよりもう少し良いスキルは持っているんだよ。" 
그리고 나는 남자를 알아보았다. 아무리 골목이 어둡다지만 저 남자의 뒷모습을··· 뒤로 묶어서 찰랑거리는 포니 테일을 알아보지 못할 리 없었다. 바로 어젯밤 텔레비전에서 똑같이 생긴 뒷모습을 목격했으니까.	そして私は男を調べた。 いくら路地が暗いというが、あの男の後姿を・・・後に縛りて揺れるポニーテールを知らないはずがなかった。 すぐ昨夜テレビでそっくりな後ろ姿を目撃したから。 
‘진짜 염제다!’	'本物の炎帝だ! ' 
랭킹 1위의 헌터. 이 시대의 주인공. 만인이 떠받드는 우상. 바로 그러기에 만인에게 질투와 시기를 받는 자이며··· 그중에서도 특히 내 질투심을 받는 영웅.	ランキング1位のハンター。 この時代の主人公。 万人があがめる偶像。 まさにそうするに万人にジェラシーを受ける者であり・・・その中でも特に内嫉妬心を受ける英雄。 
게다가.	それに、 
‘저 여자는 성녀잖아!?’	'あの女はソンニョじゃない!? ' 
나는 숨소리를 흘리지 않으려고 내 입을 막았다. 성녀. 관리국에서 선정한 세계 랭킹 9위의 헌터이자, 요즘 한창 염제와 사귀는 것 아니냐며 스캔들을 일으킨 장본인. 인터넷에서 동영상과 사진으로만 본 역대급 미녀가 그곳에 있었다.	私は、息の音を流していないように私の口を防いだ。 聖女。 管理局で選定した世界ランキング9位のハンターであり、このごろ盛んに炎帝と付き合うのではないかとのスキャンダルを起こした張本人。 インターネットで動画と写真で見た歴代級の美女がそこにいた。 
“하지만 장난질도 여기까지다. 날 건드렸으면 대가를 치르셔야지.”	"しかし、いたずらもここまでだ。 私を刺激て代価を払わなければならない。" 
그냥 있었을 뿐만 아니라, 협박을 받고 있었다.	そのままいたばかりでなく、脅迫を受けていた。 
“자, 잠깐만요. 염제님. 뭔가 오해하신 거예요···. 저는 염제님과 함께 팀을 이뤄서 탑을 공략하려는 마음밖에 없어요!”	"ちょ、ちょっと待ってください。 炎帝様。 何か誤解したんです・・・。 私は炎帝様と一緒にチームを成して塔を攻略しようとする心しかいません! " 
“나도 그런 줄 알았는데 아니더라고.”	"私もそんなと思っていたが、そうでもない。" 
“기다려주세요! 생각해보셔요. 염제님과 제가 팀을 이루면 40층은 당연하고 어쩌면 50층까지 1년 안에 공략해버릴지 몰라요! 예! 여태까지 인류가 정복하지 못한 곳이지만, 저희 둘이라면!”	"待ってください! 考えて見てよ。 炎帝様と私がチームを叶えば、40階は当たり前でもしかしたら50階まで1年以内に攻略してしまうのか分からないですよ。 はい! 今まで人類が征服していなかった場所だが、私の2人なら! " 
“나도 그럴 줄 알았는데 아니겠더라.”	"私もそうと思ったのにないようだった。" 
나는 경악했다.	私は驚愕した。 
‘저 두 사람. 사귀는 사이가··· 아니었어?’	'あの二人。 付き合う仲が・・・じゃなかったの? ' 
인터넷에서 그렇게 떠들었다. 방송에서도 두 영웅의 열애설을 다루었다. 하지만 지금 내 눈앞에 펼쳐진 모습에는 연애의 요소 따위가 전무했다. 농담이라도 연인끼리 싸우는 거라 말해주기 어려웠다.	インターネットでそんなに騒いだ。 放送でも2人の英雄の熱愛説を扱った。 しかし、今私の目の前に開かれた姿には恋愛の要素などが皆無だった。 冗談でも恋人同士で戦うのと言ってくれなかった。 
살의(殺意).	殺意(殺意)。 
상대를 죽이려는 자와 상대에게 죽지 않으려는 자밖에 안 보였다.	相手を殺そうとする者と相手に殺さないという物差ししか見えなかった。 
“우리 제발 대화해요! 대화로 오해를 풀어요.”	"私たちどうか話しましょう! 会話で誤解を解きます。" 
“대화? 아, 대화. 좋지. 신사적이고.”	"対話。 あ、対話。 いい。 紳士的で。" 
염제가 성녀의 목을 잡았다.	炎帝が聖女の首をつかんた。 
“크읏···!?”	"クウッ・・・!? " 
“하지만 대화의 룰은 내가 정한다.”	"しかし、対話のルールは私が決める。" 
컥, 하고 성녀가 발버둥 쳤다. 숨이 막히는 것일까. 그녀가 발버둥 치면 발버둥 칠수록 몰래 지켜보는 나의 숨도 막혀왔다. 세상에. 맙소사. 일어나서는 안 될 일이 코앞에서 일어나고 있었다.	コク、して聖女がもがくた。 息が詰まるのだろうか。 彼女がもがけばもがくほど、密かに見守る私の息も詰まるてきた。 世の中に。 やれやれ。 起きてはいけない事が目の前で起きていた。 
“질문은 내가 한다. 넌 대답만 해. 아, 굳이 말로 대답할 필요는 없어. 내 질문이 맞으면 고개를 끄덕이고 틀리면 고개를 저어. 그게 다야.”	"質問は私がする。 あなたは返事ばかりして。 あ、あえて言葉に答える必要はない。 私の質問が合ったらうなずいて間違ったら首を振って。 それが全てよ。" 
“힉, 후윽···! 컥···.”	"ヒク、フウク・・・! コク・・・。" 
“대화에 성실히 응해주신다면야 살려주지. 덤으로 해독제까지 줄게. 하지만 만에 하나라도 내 신사적인 배려를 무시하면··· 뭐. 더 설명하지 않아도 알지? 옥스퍼드 나오셨다면서. 똑똑한 머리 좀 굴려봐.”	"対話に誠実に応じて与えくださるのなら生かしてくれ。 おまけに解毒剤まであげる。 しかし、ぶりに一つでも私の紳士的な配慮を無視したら・・・まあ。 もっと説明しなくても分かる? オックスフォード出なかったって。 優秀な頭を転がしてみて。" 
성녀는 필사적으로 자기 목을 쥔 염제의 팔을 때렸다. 턱! 턱! 그러나 아무것도 바뀌지 않았다. 힐러로 대성한 성녀가 무력으로 염제를 이기기란 애당초 불가능했다.	聖女は必死に自分の首を握った炎帝の腕を殴った。 あご! あご! しかし、何も変わらなかった。 ヒーラーとして大成した聖女が武力で炎帝を勝つことははなから不可能だった。 
“사실 말이야. 댁한테 궁금한 건 하나밖에 없어.”	"実は。 お宅に聞きたいことは一つしかないため。" 
“읍, 컥. 후으읍···.”	"邑、コク。 フウウプ・・・。" 
“누가 날 죽이라고 명령했냐. 그것만 대답해. 흑룡의 마녀가 시킨 짓이냐?”	"誰が僕を死なせるよう命令した。 それだけ答えて。 黒龍の魔女が注文した仕業だ. " 
움찔. 성녀가 발버둥 치는 걸 멈췄다.	ビクッと。 聖女がもがくのを止めた。 
“잘 생각해서 대답해라. 난 만독불침은 없어도 거짓말을 탐지하는 스킬은 갖고 있거든. 만약 구라를 치다 걸리면 뼈까지 불태워주마.”	"よく考えて答えなさい。 私はマンドクブルチムはなくても嘘を探知するスキルは持っているんだよ。 もしグラをして見つかれば、骨まで燃やしてやる。" 
“······.”	"・・・・・・。" 
아마도 성녀는 조금 망설인 것 같았다. 깜깜한 골목. 그녀의 얼굴이 보이진 않았지만, 그녀의 침묵이 느껴졌다. 염제가 지켜보는 가운데 성녀는 천천히 고개를 끄덕였다.	多分聖女は少しためらったようだった。 真っ暗な路地。 彼女の顔が見えないが、彼女の沈黙が感じられた。 炎帝が見守る中、聖女はゆっくりうなずいた。 
“그럴 줄 알았지.”	"そうだろうと思った。" 
작은 웃음소리가 흘렀다.	小さな笑い声が流れた。 
“잘 가라, 성녀 이자벨.”	"去れ、聖女イザベル・。" 
불길이 타올랐다.	炎が燃え上がった。 
불길은 막다른 골목을 집어삼켰다. 염제의 손아귀에서 성녀의 목으로, 그리고 온몸으로. 화염에 휩싸인 성녀는 몸부림치기 시작했다. 살기 위한 발악이었다. 하지만 아무리 몸부림쳐도 염제는 꿈쩍하지 않았다.	炎は袋小路を飲み込んだ。 炎帝の下で聖女の首で、そして、体に。 火炎に包まれた聖女は全力を傾け始めた。 生きるためのあがきだった。 しかし、いくらあがいても炎帝はびくともしなかった。 
그저 무표정하게 불타는 성녀를 쳐다볼 뿐.	ただ無表情に燃える聖女を眺めるだけで。 
“흠.”	"うん。" 
작열하는 불길 속에서도 염제는 태연했다. 태연자약하게 끝까지 성녀의 목을 놓지 않았다. 성녀는 양팔을 휘둘렀으며, 염제의 팔목을 손톱으로 긁었고, 할퀴었고, 마침내 밤하늘을 향해 손을 뻗었지만··· 곧, 멈추었다.	灼熱の炎の中でも炎帝は平然としていた。 泰然自若として最後まで聖女の首を離さなかった。 聖女は、両腕を振り回しており、炎帝の首を爪で掻いており、ひっかいており、ついに夜空に向かって手を伸ばしたが・・・すぐ、止まった。 
